State,Institution,Name,MNI,AFO,CA,CUI,Geographic Area,County
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Trempealeau
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,16,5,N/A,1,Wisconsin,Trempealeau
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Washington
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Washington
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Washington
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Washington
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,9,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,19,5,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,5,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Waukesha
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,34,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,1,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,87,14,N/A,1,Wisconsin,Winnebago
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,3,0,N/A,1,Wisconsin,Wood
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,Wood
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,Wood
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,8,N/A,1,Wisconsin,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,4,0,N/A,1,Wisconsin,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,Wisconsin,
