Site Name,County,Latitude,Longitutde,Sum,Animal,Bird,Bear,Elephant,Mink,Horned Bird,Water Spirit,No Tailed Turtle,LT Turtle,Tailed Quadruped,ST Quadruped,LT Quadrupeds,Linear,Unknown,Effigy,Dumbell,Club Linear,Chain,Conical,Bi-Conical,Oval,status ,,,,,,,,,,,,,,,,,,,,
Mendota State Hospital,Dane,43.13,-89.393,22,1,4,3,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,5,partially destroyed (protected),0,0,0,0,0,1,0,,,,,,,,,,,,,
Merrill Springs II,Dane,43.087,-89.474,18,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10,intact (protected),0,0,0,0,2,0,0,,,,,,,,,,,,,
Military Road Bear,Dane,43.048,-89.641,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mill Woods,Dane,43.09,-89.346,22,0,1,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,8,partially destroyed,1,0,0,0,0,0,0,,,,,,,,,,,,,
Monona Avenue Park,Dane,43.071,-89.384,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Monona Drive,Dane,43.077,-89.324,26,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1,destroyed,0,0,0,0,0,0,0,,,,,,,,,,,,,
Monroe Street,Dane,43.061,-89.424,36,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,26,destroyed,0,1,0,0,0,0,0,,,,,,,,,,,,,
Moore,Dane,43.019,-89.248,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,partially destroyed (protected),1,0,0,0,0,0,0,,,,,,,,,,,,,
Morris Park 1/YMCA Cam,Dane,43.133,-89.433,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,intact,1,0,0,0,0,0,0,,,,,,,,,,,,,
Morris Park 2,Dane,43.123,-89.439,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,intact (protected),0,0,0,0,0,0,0,,,,,,,,,,,,,
ML Pleasant,Dane,43.001,-89.226,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,intact,0,0,0,0,0,0,0,,,,,,,,,,,,,
